Strategy,p1,p2,p3,p4,p5,p6,p7,p8
NeuralNetwork,Paul George,Draymond Green,Klay Thompson,Enes Kanter,Kris Dunn,Denzel Valentine,Bobby Portis,Robin Lopez
RandomForest,Stephen Curry,Karl-Anthony Towns,Draymond Green,Dwight Howard,Marcus Morris,Mike James,Emmanuel Mudiay,Marvin Williams
Adaboost,Karl-Anthony Towns,Paul George,Marc Gasol,Tobias Harris,Jeremy Lamb,Courtney Lee,Bojan Bogdanovic,Mike James
