Strategy,p1,p2,p3,p4,p5,p6,p7,p8
NeuralNetwork,Gordon Hayward,Kemba Walker,Kawhi Leonard,Andre Drummond,Harrison Barnes,Tim Hardaway Jr.,Jabari Parker,Willie Cauley-Stein
RandomForest,Gordon Hayward,Lance Stephenson,Kemba Walker,Anthony Davis,Harrison Barnes,Robert Covington,Kristaps Porzingis,Taurean Prince
Adaboost,Blake Griffin,Gordon Hayward,Kemba Walker,Anthony Davis,Kristaps Porzingis,Emmanuel Mudiay,Henry Ellenson,Dillon Brooks
