Strategy,p1,p2,p3,p4,p5,p6,p7,p8
NeuralNetwork,LaMarcus Aldridge,Marvin Williams,Michael Kidd-Gilchrist,Tim Hardaway Jr.,Clint Capela,Chris Paul,Lou Williams,DeAndre Jordan
RandomForest,Nikola Vucevic,J.J. Redick,T.J. McConnell,Dwight Howard,C.J. McCollum,Thaddeus Young,James Harden,Andre Roberson
Adaboost,T.J. McConnell,Dwight Howard,James Harden,Trevor Ariza,Draymond Green,J.J. Barea,Wesley Matthews,DeAndre Jordan
