Strategy,p1,p2,p3,p4,p5,p6,p7,p8
NeuralNetwork,Robert Covington,Jusuf Nurkic,Bradley Beal,Kyle Lowry,Darren Collison,Bojan Bogdanovic,Chris Paul,Wesley Johnson
RandomForest,Dario Saric,Danny Green,James Harden,Clint Capela,Paul George,Dirk Nowitzki,Wesley Matthews,De'Aaron Fox
Adaboost,Danny Green,Dennis Schroder,James Harden,Jrue Holiday,E'Twaun Moore,Draymond Green,Harrison Barnes,Wesley Matthews
