Strategy,p1,p2,p3,p4,p5,p6,p7,p8
NeuralNetwork,Anthony Davis,Devin Booker,Dennis Schroder,T.J. Warren,Jeremy Lamb,John Collins,Courtney Lee,Marco Belinelli
RandomForest,DeMarcus Cousins,Marc Gasol,Jeff Teague,Kent Bazemore,Marcus Smart,Gary Harris,John Collins,Marco Belinelli
Adaboost,DeMarcus Cousins,Jimmy Butler,Jeff Teague,Will Barton,Steven Adams,Marcus Smart,Jeremy Lamb,Frank Kaminsky
